,Review,Rating,Score
0,This huge hotel is iconic and hence draws many travellers to Singapore. We found it to be overpriced and overcrowded. The iconic swimming pool on the roof is a nice experience but security is overbearing and the staff unhelpful. There are better places to stay in Singapore.,50,1
1,"Stayed 2 nights in tower 3 level 6 - disappointing in may ways room had a strange smell and as I had a family 2 adults and 2 kids the room has 2 large ish single beds, so it was an uncomfortable night night sleeping with my boys as it wasn’t even a double bed, you get a better sized bed at Novotel for God’s sake, tv didn’t work properly, shower head sprayed everywhere....and a view of the road, make sure you get a room above at least level 10 otherwise save your cash. Then we moved to tower 1 level 27 better room but same beds, ok then....This is my third time staying here and the hotel has gone backwards in the years I have come here, service is still great but generally the place is looking tired as per photo attached, just drab. The pool is still amazing, wooden floor needs replacing but the worst part, I don’t remember water being so cold, I recon 20 degrees tops, why have the pool so cold ???? I understand you don’t want people loitering but my kids spent 5 minutes in and my wife wouldn’t go in at all, says a lot. They have also got rid of the tall tables near restaurant to eat or drink and the permanent lounge seats in water has been replaced with patio furniture sitting in water which is strange and gets burning hot in sun. When you are spending $400 + a night with beers starting at $14 a pop , guests deserve better, and I can officially say I defiantly won’t be back again. One positive this visit a local said go to “Sata by the bay” which is an easy walk behind gardens - 30 sata sticks beef / chicken ect for $20 amazing , it’s a bit of a food court with locals but I loved it and also next door is free water park / cafe for young kids. Stay once if never been but don’t waste cash in future ",30,1
2,"We spent a couple of days here at Marina Bay Sands in our holiday in Singapore. It was a very pleasent stay. The most thing that I like was their attention to the client. They care about any single detail and they were there before to know that you need them. The infinity pool was very nice but as we expected ...wery noisy and crowded. The skypatk it was nice also...very nice pictures from there:)The room was very clean, well maintained, comfortable and it looks pretty good.",30,1
3,"One major complaint. Engaged MBS’s valet service for Thursday & Friday. Checked out on Saturday at about 12.30pm. As the valet guy handed us our key, he said something in a very fast speed but we just took the key, said our thanks and left.  It was only when we were about to get out of the car at a food centre which is 10 mins away from MBS, that my husband made sense of what that valet guy had said – that he (my husband) needed to open the door from the OUTSIDE. This meant that the door could no longer be opened from the inside! We went out on the Friday evening before and sure as hell everything worked as normal before we passed it on to the valet for the night. So we returned back to the hotel and spoke to a few of the valet guys who were on duty. The impression they gave was all that matters to them was to clear all the cars that needed to be parked and that our issue is the least of their concern. One of them even had the cheek to ask my husband if we have our own mechanic and get it sorted ourselves! You damaged our door handle and asked us to fix the problem ourselves? He said that they were very busy. EXCUSE US, do you think we were so free on our time to come back to you?! My husband remained very polite throughout (hats off to him, I tell you) and explained that we were there to have the issue solved and not make a fuss. So since that guy said he was busy, please get the Manager. This was even frustrating because not one, but two of the valet staff were clearly hesitant to call for their Manager. When the gentleman finally arrived, all he did was ask my husband to lodge a complaint. He went on the line that whatever happens, “he makes the call”. Omg was that some kind of a threat? We received a call on Saturday night about 10+pm from a Supervisor, only for him to say they would look into the cctv and investigate. We haven’t heard anything since. MBS’s valet operations team needs to look into how to handle customers complaints/issue on the spot. There was no genuine/personal touch at all. So bare and so cold!! This is the service standard? Those valet guys were unprofessional at handling these issues, although no doubt they are efficient in clearing all the cars. As this matter is horribly attended to, this the reason why I am writing here in TA. My husband and I are hoping the VP or Director of Operations to reach out to us and have this issue addressed.Pros: Service staff at check in/out were great. Premier room is very spacious, nice pleasant view and bathtub is wow. Perhaps can add on some bath salt. Room attendant (a Chinese gentleman serving level 17) was always genuinely polite and friendly every single time we bumped into him. As we were in line for checking out, there was a staff who gave away bottled juices, which we really appreciate the nice gesture.As you can see, we have more pros than cons. But that one con – valet – is enough to really ruin our impression of MBS. I hardly complaint but this really needs one.",50,1
4,This place is expensive but omg the view is awesome from the room. The room was amazing but the best part was the view from the room. The pool was great but it was kind of disappointing with it being so shallow. This is a famous hotel in Singapore and everyone has so many great reviews over this place but I must say that for the price its king of average.,20,1
5,We were really in awe seeing the Singapore Skyline. It was my first time in Sg but i never expected it to be so clean and so good. LOL. We will definitely be back here soon and stay at MBS. Food are great plus the casino and shops are big. Too many people staying at this hotel but all thanks to the people we interacted with that made me feel like I was home.  ,30,1
6,"Was here on business for 3 days and boy, it was one spectacular property. Enough options to not make you want to leave the hotel. The infinity pool, mall, food court et al, was fabulous. Great staff and views of the marina from the balcony were the highlight of the tour.",50,1
7,We stayed here during our Singapore holiday and enjoyed the club room and the infinity pool very much. The room is spacious with great view even though the decor is a bit dated. Pool is crowed but our little girl loved it so much we stayed from early afternoon to 10pm most nights. The food options at the pool is limited and buffet breakfast at level 55 is very average. ,50,1
8,Truly outstanding. This destination resort is so big and comprehensive you can arrive and never need to venture out as there is absolutely everything you need in one magnificent spot.Service is provided by wonderful caring staff who go above and beyond in every way.Food offer is extensive and the best of everything.Can't wait to return.,40,1
9,"A once in a lifetime experience this hotel. 57 stories high, 3 towers, pool on the top with a terace. A must see and a must do. Especially at night the scenery is superb. Rooms are great. Everything is there. Attached to exhibition center. Many restaurants in and around the hotel. Bring your creditcard. It is not cheap, but you only live once. Put it on your bucket list. ",50,1
